id,label
0,3
1,1
2,2
3,4
4,2
5,5
6,8
7,3
8,3
9,5
10,8
11,5
12,9
13,5
14,5
15,5
16,2
17,2
18,2
19,5
20,6
21,4
22,3
23,3
24,5
25,5
26,3
27,3
28,3
29,0
30,2
31,9
32,1
33,3
34,0
35,3
36,1
37,8
38,5
39,5
40,5
41,0
42,2
43,5
44,2
45,6
46,0
47,2
48,8
49,5
50,9
51,6
52,5
53,6
54,8
55,4
56,2
57,5
58,5
59,2
60,2
61,6
62,8
63,5
64,5
65,3
66,0
67,7
68,1
69,1
70,0
71,5
72,5
73,0
74,6
75,0
76,5
77,5
78,5
79,8
80,3
81,4
82,8
83,8
84,0
85,5
86,2
87,5
88,8
89,1
90,5
91,4
92,4
93,0
94,6
95,7
96,5
97,1
98,7
99,3
100,5
101,5
102,5
103,5
104,4
105,2
106,3
107,3
108,8
109,9
110,0
111,6
112,2
113,5
114,1
115,5
116,8
117,9
118,5
119,0
120,7
121,0
122,2
123,5
124,5
125,2
126,3
127,5
128,3
129,5
130,5
131,8
132,5
133,9
134,2
135,5
136,5
137,2
138,5
139,0
140,9
141,5
142,8
143,8
144,3
145,5
146,1
147,6
148,5
149,9
150,5
151,5
152,1
153,8
154,5
155,1
156,0
157,5
158,6
159,8
160,6
161,7
162,5
163,5
164,2
165,5
166,2
167,5
168,5
169,5
170,9
171,2
172,2
173,5
174,2
175,1
176,9
177,4
178,0
179,4
180,5
181,5
182,9
183,5
184,6
185,2
186,0
187,9
188,4
189,2
190,8
191,5
192,0
193,5
194,2
195,5
196,5
197,2
198,5
199,0
200,0
201,2
202,8
203,5
204,3
205,0
206,5
207,1
208,5
209,8
210,1
211,1
212,2
213,2
214,0
215,1
216,6
217,5
218,5
219,8
220,3
221,2
222,5
223,0
224,5
225,5
226,8
227,5
228,1
229,1
230,2
231,5
232,3
233,2
234,6
235,5
236,1
237,2
238,8
239,8
240,0
241,5
242,0
243,8
244,6
245,5
246,6
247,5
248,5
249,2
250,5
251,6
252,6
253,5
254,5
255,6
256,8
257,6
258,4
259,5
260,1
261,2
262,5
263,2
264,2
265,3
266,8
267,0
268,1
269,5
270,6
271,5
272,2
273,8
274,2
275,8
276,5
277,6
278,0
279,5
280,0
281,6
282,8
283,5
284,1
285,0
286,3
287,5
288,5
289,1
290,5
291,2
292,0
293,3
294,1
295,5
296,2
297,7
298,3
299,8
300,5
301,1
302,0
303,0
304,2
305,8
306,6
307,5
308,1
309,5
310,0
311,5
312,2
313,3
314,5
315,5
316,5
317,8
318,0
319,1
320,5
321,5
322,5
323,0
324,6
325,2
326,7
327,9
328,8
329,7
330,0
331,5
332,5
333,3
334,3
335,2
336,5
337,5
338,9
339,0
340,3
341,5
342,3
343,5
344,5
345,1
346,1
347,5
348,3
349,1
350,5
351,4
352,5
353,5
354,5
355,9
356,8
357,5
358,6
359,8
360,4
361,7
362,7
363,2
364,9
365,8
366,6
367,5
368,8
369,2
370,6
371,9
372,5
373,1
374,5
375,6
376,6
377,5
378,4
379,0
380,2
381,5
382,0
383,6
384,0
385,2
386,5
387,7
388,3
389,5
390,1
391,2
392,2
393,2
394,5
395,8
396,5
397,5
398,8
399,8
400,5
401,5
402,5
403,5
404,2
405,2
406,5
407,5
408,6
409,6
410,5
411,5
412,2
413,6
414,5
415,3
416,5
417,9
418,8
419,8
420,1
421,7
422,7
423,1
424,6
425,2
426,2
427,6
428,4
429,1
430,5
431,5
432,2
433,5
434,9
435,5
436,3
437,5
438,0
439,5
440,5
441,5
442,5
443,2
444,6
445,1
446,5
447,9
448,6
449,8
450,5
451,5
452,3
453,4
454,2
455,8
456,9
457,6
458,1
459,0
460,5
461,7
462,3
463,5
464,5
465,8
466,6
467,6
468,8
469,4
470,5
471,2
472,6
473,1
474,2
475,1
476,8
477,3
478,5
479,8
480,8
481,5
482,3
483,2
484,1
485,4
486,5
487,5
488,9
489,7
490,5
491,6
492,5
493,9
494,1
495,1
496,1
497,5
498,5
499,5
500,9
501,2
502,1
503,5
504,5
505,5
506,1
507,0
508,5
509,4
510,9
511,6
512,6
513,7
514,8
515,1
516,2
517,4
518,7
519,5
520,8
521,4
522,3
523,5
524,9
525,5
526,5
527,3
528,5
529,3
530,6
531,3
532,2
533,5
534,9
535,3
536,5
537,5
538,2
539,2
540,5
541,5
542,6
543,5
544,1
545,3
546,5
547,7
548,5
549,3
550,6
551,8
552,5
553,1
554,5
555,3
556,5
557,7
558,5
559,6
560,5
561,6
562,5
563,6
564,8
565,6
566,7
567,3
568,5
569,3
570,2
571,5
572,8
573,5
574,6
575,8
576,0
577,9
578,1
579,9
580,5
581,5
582,4
583,9
584,5
585,4
586,5
587,5
588,7
589,5
590,8
591,2
592,5
593,4
594,8
595,3
596,2
597,3
598,5
599,3
600,3
601,6
602,5
603,9
604,5
605,2
606,0
607,8
608,6
609,8
610,1
611,5
612,6
613,5
614,5
615,9
616,6
617,2
618,5
619,0
620,9
621,5
622,2
623,5
624,7
625,6
626,0
627,3
628,5
629,2
630,9
631,6
632,5
633,5
634,5
635,5
636,6
637,2
638,3
639,5
640,5
641,5
642,5
643,2
644,5
645,8
646,3
647,2
648,3
649,3
650,5
651,3
652,8
653,5
654,5
655,5
656,2
657,5
658,2
659,8
660,8
661,2
662,5
663,4
664,3
665,6
666,5
667,2
668,3
669,5
670,8
671,9
672,3
673,5
674,0
675,4
676,9
677,6
678,2
679,5
680,1
681,0
682,9
683,0
684,5
685,6
686,5
687,5
688,4
689,3
690,3
691,5
692,2
693,6
694,2
695,3
696,9
697,5
698,8
699,1
700,2
701,3
702,0
703,8
704,5
705,5
706,5
707,2
708,6
709,2
710,9
711,0
712,5
713,5
714,5
715,2
716,3
717,4
718,1
719,5
720,5
721,6
722,8
723,7
724,1
725,5
726,2
727,6
728,2
729,5
730,1
731,5
732,0
733,5
734,9
735,5
736,5
737,2
738,7
739,7
740,9
741,5
742,1
743,5
744,6
745,5
746,1
747,6
748,6
749,5
750,5
751,2
752,5
753,5
754,0
755,2
756,3
757,9
758,3
759,2
760,9
761,5
762,6
763,2
764,5
765,5
766,5
767,5
768,1
769,0
770,1
771,8
772,9
773,5
774,5
775,1
776,4
777,8
778,5
779,5
780,5
781,6
782,5
783,6
784,8
785,5
786,0
787,6
788,3
789,6
790,0
791,5
792,8
793,2
794,5
795,4
796,0
797,3
798,2
799,0
800,3
801,2
802,1
803,1
804,1
805,0
806,9
807,7
808,7
809,5
810,8
811,8
812,1
813,5
814,8
815,0
816,6
817,5
818,5
819,2
820,1
821,5
822,3
823,5
824,5
825,8
826,2
827,0
828,0
829,1
830,5
831,0
832,6
833,5
834,2
835,6
836,3
837,5
838,3
839,5
840,5
841,4
842,0
843,5
844,8
845,5
846,2
847,3
848,5
849,0
850,5
851,4
852,8
853,1
854,2
855,2
856,0
857,5
858,9
859,8
860,5
861,3
862,4
863,3
864,4
865,5
866,5
867,2
868,7
869,7
870,8
871,1
872,6
873,5
874,5
875,5
876,5
877,1
878,7
879,2
880,1
881,5
882,5
883,5
884,9
885,5
886,5
887,2
888,1
889,5
890,2
891,5
892,5
893,5
894,5
895,1
896,4
897,9
898,1
899,0
900,2
901,5
902,2
903,6
904,2
905,2
906,8
907,8
908,9
909,8
910,8
911,9
912,5
913,5
914,2
915,5
916,1
917,0
918,5
919,0
920,5
921,8
922,9
923,7
924,5
925,2
926,9
927,0
928,2
929,7
930,5
931,2
932,5
933,3
934,8
935,5
936,2
937,5
938,3
939,2
940,5
941,6
942,5
943,3
944,3
945,6
946,2
947,0
948,0
949,5
950,1
951,1
952,4
953,0
954,2
955,2
956,0
957,1
958,5
959,9
960,2
961,1
962,1
963,4
964,5
965,5
966,3
967,5
968,6
969,1
970,3
971,5
972,0
973,2
974,1
975,3
976,2
977,3
978,3
979,3
980,2
981,5
982,5
983,3
984,8
985,5
986,0
987,5
988,6
989,3
990,5
991,0
992,5
993,5
994,8
995,3
996,5
997,9
998,5
999,6
1000,5
1001,5
1002,7
1003,3
1004,7
1005,3
1006,9
1007,2
1008,5
1009,2
1010,5
1011,9
1012,5
1013,1
1014,2
1015,5
1016,5
1017,1
1018,5
1019,5
1020,7
1021,7
1022,6
1023,0
1024,6
1025,5
1026,8
1027,3
1028,6
1029,5
1030,8
1031,2
1032,1
1033,9
1034,3
1035,2
1036,5
1037,5
1038,2
1039,8
1040,5
1041,8
1042,9
1043,2
1044,8
1045,5
1046,5
1047,0
1048,5
1049,2
1050,8
1051,3
1052,0
1053,4
1054,3
1055,1
1056,0
1057,5
1058,1
1059,8
1060,9
1061,7
1062,4
1063,2
1064,6
1065,5
1066,0
1067,1
1068,8
1069,5
1070,1
1071,5
1072,4
1073,6
1074,9
1075,0
1076,3
1077,5
1078,9
1079,5
1080,5
1081,0
1082,5
1083,5
1084,0
1085,6
1086,3
1087,5
1088,5
1089,5
